analysis,base_deaths,coverage,max_vaccines,mortality_reduction_pct,radius,replicate,risk,scenario_deaths,seed,ve_i,ve_m
fig3_risk_compensation,899.0,0.4,0,82.64738598442715,2,81,1.0,156.0,2026705081,0.75,0.75
fig3_risk_compensation,1216.0,0.4,0,81.16776315789474,2,82,1.0,229.0,2026705082,0.75,0.75
fig3_risk_compensation,976.0,0.4,0,69.87704918032787,2,83,1.0,294.0,2026705083,0.75,0.75
fig3_risk_compensation,1304.0,0.4,0,79.21779141104294,2,84,1.0,271.0,2026705084,0.75,0.75
fig3_risk_compensation,1036.0,0.4,0,83.10810810810811,2,85,1.0,175.0,2026705085,0.75,0.75
fig3_risk_compensation,1159.0,0.4,0,78.51596203623814,2,86,1.0,249.0,2026705086,0.75,0.75
fig3_risk_compensation,1074.0,0.4,0,75.41899441340782,2,87,1.0,264.0,2026705087,0.75,0.75
fig3_risk_compensation,1195.0,0.4,0,80.75313807531381,2,88,1.0,230.0,2026705088,0.75,0.75
fig3_risk_compensation,1052.0,0.4,0,82.69961977186311,2,89,1.0,182.0,2026705089,0.75,0.75
fig3_risk_compensation,1383.0,0.4,0,80.40491684743311,2,90,1.0,271.0,2026705090,0.75,0.75
fig3_risk_compensation,1001.9999999999999,0.4,0,76.64670658682634,2,91,1.0,234.0,2026705091,0.75,0.75
fig3_risk_compensation,1099.0,0.4,0,83.62147406733393,2,92,1.0,180.0,2026705092,0.75,0.75
fig3_risk_compensation,927.0,0.4,0,71.41316073354908,2,93,1.0,265.0,2026705093,0.75,0.75
fig3_risk_compensation,1298.0,0.4,0,75.115562403698,2,94,1.0,323.0,2026705094,0.75,0.75
fig3_risk_compensation,1282.0,0.4,0,80.49921996879876,2,95,1.0,250.0,2026705095,0.75,0.75
fig3_risk_compensation,1037.0,0.4,0,76.56702025072325,2,96,1.0,243.0,2026705096,0.75,0.75
fig3_risk_compensation,1347.0,0.4,0,81.66295471417966,2,97,1.0,247.0,2026705097,0.75,0.75
fig3_risk_compensation,1235.0,0.4,0,74.73684210526316,2,98,1.0,312.0,2026705098,0.75,0.75
fig3_risk_compensation,1471.0,0.4,0,81.50917743031951,2,99,1.0,272.0,2026705099,0.75,0.75
fig3_risk_compensation,706.0,0.4,0,74.64589235127478,2,0,1.0,179.0,2026704000,0.6,0.6
fig3_risk_compensation,728.0,0.4,0,74.03846153846153,2,1,1.0,189.0,2026704001,0.6,0.6
