strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
comm_base_60,65,2026073065,0,nan,139,362,60000
no_vax_base_ops,66,2026073066,0,nan,893,2039,0
no_vax_enh_ops,66,2026073066,0,nan,171,353,0
comm_base_40,66,2026073066,0,nan,288,643,40000
comm_base_60,66,2026073066,0,nan,233,539,60000
no_vax_base_ops,68,2026073068,0,nan,972,2107,0
no_vax_enh_ops,68,2026073068,0,nan,150,326,0
comm_base_40,68,2026073068,0,nan,293,688,40000
comm_base_60,68,2026073068,0,nan,216,529,60000
no_vax_base_ops,70,2026073070,0,nan,1027,2288,0
no_vax_enh_ops,70,2026073070,0,nan,117,262,0
comm_base_40,70,2026073070,0,nan,354,870,40000
comm_base_60,70,2026073070,0,nan,197,526,60000
no_vax_base_ops,67,2026073067,0,nan,1532,3264,0
no_vax_enh_ops,67,2026073067,0,nan,182,417,0
comm_base_40,67,2026073067,0,nan,400,917,40000
comm_base_60,67,2026073067,0,nan,252,610,60000
no_vax_base_ops,69,2026073069,0,nan,979,2154,0
no_vax_enh_ops,69,2026073069,0,nan,141,315,0
comm_base_40,69,2026073069,0,nan,289,701,40000
comm_base_60,69,2026073069,0,nan,189,475,60000
no_vax_base_ops,72,2026073072,0,nan,1194,2599,0
no_vax_enh_ops,72,2026073072,0,nan,94,235,0
comm_base_40,72,2026073072,0,nan,319,772,40000
comm_base_60,72,2026073072,0,nan,270,675,60000
no_vax_base_ops,71,2026073071,0,nan,1104,2435,0
no_vax_enh_ops,71,2026073071,1,68.41554646621613,162,339,0
comm_base_40,71,2026073071,0,nan,347,812,40000
comm_base_60,71,2026073071,0,nan,293,738,60000
no_vax_base_ops,73,2026073073,0,nan,961,2152,0
no_vax_enh_ops,73,2026073073,1,87.77074622919184,156,340,0
comm_base_40,73,2026073073,0,nan,326,816,40000
comm_base_60,73,2026073073,0,nan,162,421,60000
no_vax_base_ops,74,2026073074,0,nan,1067,2293,0
no_vax_enh_ops,74,2026073074,0,nan,144,346,0
comm_base_40,74,2026073074,0,nan,337,844,40000
comm_base_60,74,2026073074,0,nan,209,563,60000
no_vax_base_ops,78,2026073078,0,nan,1053,2312,0
no_vax_enh_ops,78,2026073078,0,nan,152,336,0
comm_base_40,78,2026073078,0,nan,293,674,40000
comm_base_60,78,2026073078,0,nan,175,433,60000
no_vax_base_ops,76,2026073076,0,nan,1780,3896,0
no_vax_enh_ops,76,2026073076,0,nan,235,470,0
comm_base_40,76,2026073076,0,nan,537,1271,40000
comm_base_60,76,2026073076,0,nan,280,635,60000
no_vax_base_ops,77,2026073077,0,nan,1193,2611,0
no_vax_enh_ops,77,2026073077,0,nan,161,357,0
comm_base_40,77,2026073077,0,nan,323,772,40000
comm_base_60,77,2026073077,0,nan,223,544,60000
no_vax_base_ops,75,2026073075,0,nan,1074,2369,0
no_vax_enh_ops,75,2026073075,0,nan,168,392,0
comm_base_40,75,2026073075,0,nan,391,945,40000
comm_base_60,75,2026073075,0,nan,267,709,60000
no_vax_base_ops,79,2026073079,0,nan,883,1883,0
no_vax_enh_ops,79,2026073079,0,nan,147,333,0
comm_base_40,79,2026073079,0,nan,282,663,40000
comm_base_60,79,2026073079,0,nan,156,400,60000
no_vax_base_ops,80,2026073080,0,nan,1350,2929,0
no_vax_enh_ops,80,2026073080,0,nan,192,401,0
comm_base_40,80,2026073080,0,nan,449,1008,40000
comm_base_60,80,2026073080,0,nan,340,790,60000
no_vax_base_ops,81,2026073081,0,nan,1184,2636,0
no_vax_enh_ops,81,2026073081,0,nan,190,442,0
comm_base_40,81,2026073081,0,nan,510,1232,40000
comm_base_60,81,2026073081,0,nan,261,661,60000
no_vax_base_ops,82,2026073082,0,nan,657,1484,0
no_vax_enh_ops,82,2026073082,0,nan,149,342,0
comm_base_40,82,2026073082,0,nan,251,597,40000
comm_base_60,82,2026073082,0,nan,142,370,60000
no_vax_base_ops,83,2026073083,0,nan,843,1838,0
no_vax_enh_ops,83,2026073083,0,nan,145,346,0
comm_base_40,83,2026073083,0,nan,255,649,40000
comm_base_60,83,2026073083,0,nan,148,391,60000
no_vax_base_ops,85,2026073085,0,nan,1051,2245,0
no_vax_enh_ops,85,2026073085,0,nan,203,426,0
comm_base_40,85,2026073085,0,nan,362,857,40000
comm_base_60,85,2026073085,0,nan,214,520,60000
no_vax_base_ops,84,2026073084,0,nan,1049,2251,0
no_vax_enh_ops,84,2026073084,0,nan,156,316,0
comm_base_40,84,2026073084,0,nan,368,862,40000
comm_base_60,84,2026073084,0,nan,236,577,60000
no_vax_base_ops,86,2026073086,0,nan,1230,2696,0
no_vax_enh_ops,86,2026073086,0,nan,184,376,0
comm_base_40,86,2026073086,0,nan,388,919,40000
comm_base_60,86,2026073086,0,nan,258,653,60000
no_vax_base_ops,87,2026073087,0,nan,1130,2535,0
no_vax_enh_ops,87,2026073087,0,nan,155,364,0
comm_base_40,87,2026073087,0,nan,379,893,40000
comm_base_60,87,2026073087,0,nan,260,656,60000
no_vax_base_ops,88,2026073088,0,nan,1124,2624,0
no_vax_enh_ops,88,2026073088,0,nan,121,293,0
comm_base_40,88,2026073088,0,nan,344,876,40000
comm_base_60,88,2026073088,0,nan,147,407,60000
no_vax_base_ops,89,2026073089,0,nan,1326,2969,0
no_vax_enh_ops,89,2026073089,0,nan,145,365,0
comm_base_40,89,2026073089,0,nan,429,1085,40000
comm_base_60,89,2026073089,0,nan,237,638,60000
no_vax_base_ops,91,2026073091,0,nan,1241,2744,0
no_vax_enh_ops,91,2026073091,0,nan,140,313,0
comm_base_40,91,2026073091,0,nan,437,1026,40000
comm_base_60,91,2026073091,0,nan,261,637,60000
no_vax_base_ops,90,2026073090,0,nan,1054,2296,0
no_vax_enh_ops,90,2026073090,0,nan,183,410,0
comm_base_40,90,2026073090,0,nan,310,749,40000
comm_base_60,90,2026073090,0,nan,171,426,60000
no_vax_base_ops,92,2026073092,0,nan,847,1824,0
no_vax_enh_ops,92,2026073092,1,76.48275425636402,135,304,0
comm_base_40,92,2026073092,0,nan,323,754,40000
comm_base_60,92,2026073092,0,nan,159,396,60000
no_vax_base_ops,94,2026073094,0,nan,1569,3375,0
no_vax_enh_ops,94,2026073094,1,87.13887060314939,191,392,0
comm_base_40,94,2026073094,0,nan,368,832,40000
comm_base_60,94,2026073094,0,nan,268,676,60000
no_vax_base_ops,93,2026073093,0,nan,1151,2631,0
no_vax_enh_ops,93,2026073093,0,nan,144,309,0
comm_base_40,93,2026073093,0,nan,335,809,40000
comm_base_60,93,2026073093,0,nan,215,552,60000
no_vax_base_ops,95,2026073095,0,nan,1463,3298,0
no_vax_enh_ops,95,2026073095,0,nan,119,267,0
comm_base_40,95,2026073095,0,nan,442,1036,40000
comm_base_60,95,2026073095,0,nan,281,697,60000
no_vax_base_ops,96,2026073096,0,nan,1207,2687,0
no_vax_enh_ops,96,2026073096,0,nan,139,277,0
comm_base_40,96,2026073096,0,nan,361,840,40000
comm_base_60,96,2026073096,0,nan,238,552,60000
no_vax_base_ops,97,2026073097,0,nan,1061,2343,0
no_vax_enh_ops,97,2026073097,0,nan,154,329,0
comm_base_40,97,2026073097,0,nan,318,724,40000
comm_base_60,97,2026073097,0,nan,193,473,60000
no_vax_base_ops,99,2026073099,0,nan,1070,2398,0
no_vax_enh_ops,99,2026073099,0,nan,144,337,0
comm_base_40,99,2026073099,0,nan,310,722,40000
comm_base_60,99,2026073099,0,nan,168,441,60000
no_vax_base_ops,100,2026073100,0,nan,944,2072,0
no_vax_enh_ops,100,2026073100,0,nan,149,354,0
comm_base_40,100,2026073100,0,nan,313,753,40000
comm_base_60,100,2026073100,0,nan,180,466,60000
no_vax_base_ops,98,2026073098,0,nan,1128,2523,0
no_vax_enh_ops,98,2026073098,0,nan,176,371,0
comm_base_40,98,2026073098,0,nan,385,936,40000
comm_base_60,98,2026073098,0,nan,206,506,60000
no_vax_base_ops,101,2026073101,0,nan,1125,2467,0
no_vax_enh_ops,101,2026073101,0,nan,222,465,0
comm_base_40,101,2026073101,0,nan,428,967,40000
comm_base_60,101,2026073101,0,nan,260,604,60000
no_vax_base_ops,102,2026073102,0,nan,1369,3034,0
no_vax_enh_ops,102,2026073102,0,nan,199,433,0
comm_base_40,102,2026073102,0,nan,339,804,40000
comm_base_60,102,2026073102,0,nan,216,535,60000
no_vax_base_ops,103,2026073103,0,nan,1107,2371,0
no_vax_enh_ops,103,2026073103,0,nan,205,463,0
comm_base_40,103,2026073103,0,nan,322,768,40000
comm_base_60,103,2026073103,0,nan,193,482,60000
no_vax_base_ops,104,2026073104,0,nan,1128,2574,0
no_vax_enh_ops,104,2026073104,0,nan,151,364,0
comm_base_40,104,2026073104,0,nan,296,788,40000
comm_base_60,104,2026073104,0,nan,186,517,60000
no_vax_base_ops,105,2026073105,0,nan,1392,3035,0
no_vax_enh_ops,105,2026073105,0,nan,231,495,0
comm_base_40,105,2026073105,0,nan,437,1002,40000
comm_base_60,105,2026073105,0,nan,290,709,60000
no_vax_base_ops,108,2026073108,0,nan,767,1778,0
no_vax_enh_ops,108,2026073108,0,nan,111,274,0
comm_base_40,108,2026073108,0,nan,227,590,40000
comm_base_60,108,2026073108,0,nan,155,444,60000
no_vax_base_ops,107,2026073107,0,nan,946,2099,0
no_vax_enh_ops,107,2026073107,1,85.65772229175805,180,401,0
comm_base_40,107,2026073107,0,nan,355,889,40000
comm_base_60,107,2026073107,0,nan,162,443,60000
no_vax_base_ops,110,2026073110,0,nan,765,1809,0
no_vax_enh_ops,110,2026073110,0,nan,101,254,0
comm_base_40,110,2026073110,0,nan,210,590,40000
comm_base_60,110,2026073110,0,nan,108,331,60000
no_vax_base_ops,106,2026073106,0,nan,1127,2526,0
no_vax_enh_ops,106,2026073106,0,nan,183,383,0
comm_base_40,106,2026073106,0,nan,428,1001,40000
comm_base_60,106,2026073106,0,nan,184,460,60000
no_vax_base_ops,109,2026073109,0,nan,1061,2370,0
no_vax_enh_ops,109,2026073109,0,nan,141,318,0
