cell,ve_i,ve_m,n_replicates,median_cases,median_deaths,median_doses,median_mortality_reduction_pct
vei_0.375_vem_0.750,0.375,0.750,100,719.0,283.5,40000.0,65.61763689485093
vei_0.375_vem_0.825,0.375,0.825,100,719.0,280.0,40000.0,66.26846994020504
vei_0.375_vem_0.900,0.375,0.900,100,719.0,275.0,40000.0,66.7998667998668
vei_0.450_vem_0.000,0.450,0.000,100,599.5,276.0,40000.0,65.56405055390857
vei_0.450_vem_0.075,0.450,0.075,100,599.5,273.0,40000.0,66.14666693012441
vei_0.450_vem_0.150,0.450,0.150,100,599.5,270.0,40000.0,66.66666666666667
vei_0.450_vem_0.225,0.450,0.225,100,599.5,265.5,40000.0,67.22950508216965
vei_0.450_vem_0.300,0.450,0.300,100,599.5,263.0,40000.0,67.72347297425668
vei_0.450_vem_0.375,0.450,0.375,100,599.5,258.5,40000.0,67.86418257813241
vei_0.450_vem_0.450,0.450,0.450,100,599.5,257.5,40000.0,68.21744086634368
vei_0.450_vem_0.525,0.450,0.525,100,599.5,253.0,40000.0,68.42702099363541
vei_0.450_vem_0.600,0.450,0.600,100,599.5,249.0,40000.0,68.74201787994892
vei_0.450_vem_0.675,0.450,0.675,100,599.5,245.0,40000.0,69.29727838039364
vei_0.450_vem_0.750,0.450,0.750,100,599.5,242.5,40000.0,69.66362604865584
vei_0.450_vem_0.825,0.450,0.825,100,599.5,239.99999999999997,40000.0,70.02385005241241
vei_0.450_vem_0.900,0.450,0.900,100,599.5,237.50000000000003,40000.0,70.60427500506518
vei_0.525_vem_0.000,0.525,0.000,100,551.5,252.0,40000.0,68.65703608726943
vei_0.525_vem_0.075,0.525,0.075,100,551.5,247.5,40000.0,69.0879549680457
vei_0.525_vem_0.150,0.525,0.150,100,551.5,245.5,40000.0,69.25168782730725
vei_0.525_vem_0.225,0.525,0.225,100,551.5,242.5,40000.0,69.3719739178218
vei_0.525_vem_0.300,0.525,0.300,100,551.5,240.0,40000.0,69.7328321893655
vei_0.525_vem_0.375,0.525,0.375,100,551.5,237.00000000000003,40000.0,70.10046917344417
vei_0.525_vem_0.450,0.525,0.450,100,551.5,234.5,40000.0,70.3430543408307
vei_0.525_vem_0.525,0.525,0.525,100,551.5,231.5,40000.0,70.47011914388025
vei_0.525_vem_0.600,0.525,0.600,100,551.5,230.0,40000.0,70.74509588993678
vei_0.525_vem_0.675,0.525,0.675,100,551.5,228.0,40000.0,71.22624025199502
vei_0.525_vem_0.750,0.525,0.750,100,551.5,226.0,40000.0,71.60969981828161
vei_0.525_vem_0.825,0.525,0.825,100,551.5,223.5,40000.0,71.88442439355762
vei_0.525_vem_0.900,0.525,0.900,100,551.5,222.00000000000003,40000.0,72.03896103896105
vei_0.600_vem_0.000,0.600,0.000,100,492.0,222.00000000000003,40000.0,73.02036199095022
vei_0.600_vem_0.075,0.600,0.075,100,492.0,220.5,40000.0,73.28251813545931
vei_0.600_vem_0.150,0.600,0.150,100,492.0,219.0,40000.0,73.28251813545931
vei_0.600_vem_0.225,0.600,0.225,100,492.0,218.0,40000.0,73.36566563413311
vei_0.600_vem_0.300,0.600,0.300,100,492.0,216.0,40000.0,73.57804232804233
vei_0.600_vem_0.375,0.600,0.375,100,492.0,214.0,40000.0,73.95833333333334
vei_0.600_vem_0.450,0.600,0.450,100,492.0,213.0,40000.0,74.06828371922087
vei_0.600_vem_0.525,0.600,0.525,100,492.0,211.0,40000.0,74.3031746031746
vei_0.600_vem_0.600,0.600,0.600,100,492.0,208.49999999999997,40000.0,74.56825396825397
vei_0.600_vem_0.675,0.600,0.675,100,492.0,207.99999999999997,40000.0,74.73412698412699
vei_0.600_vem_0.750,0.600,0.750,100,492.0,205.50000000000003,40000.0,75.01626984126985
vei_0.600_vem_0.825,0.600,0.825,100,492.0,204.50000000000003,40000.0,75.19179894179894
vei_0.600_vem_0.900,0.600,0.900,100,492.0,203.5,40000.0,75.42328042328043
vei_0.675_vem_0.000,0.675,0.000,100,468.5,213.5,40000.0,74.10687968347901
vei_0.675_vem_0.075,0.675,0.075,100,468.5,213.0,40000.0,74.43288099853757
vei_0.675_vem_0.150,0.675,0.150,100,468.5,212.0,40000.0,74.67336099490981
vei_0.675_vem_0.225,0.675,0.225,100,468.5,211.0,40000.0,74.67336099490981
vei_0.675_vem_0.300,0.675,0.300,100,468.5,210.0,40000.0,74.84525388565791
vei_0.675_vem_0.375,0.675,0.375,100,468.5,208.49999999999997,40000.0,74.94834710743801
vei_0.675_vem_0.450,0.675,0.450,100,468.5,207.49999999999997,40000.0,74.94834710743801
vei_0.675_vem_0.525,0.675,0.525,100,468.5,206.5,40000.0,75.0531914893617
