analysis,base_deaths,coverage,det,max_vaccines,mortality_reduction_pct,replicate,risk,scenario_deaths,seed,trace,ve
fig3_risk_compensation,1007.0000000000001,0.4,0.3,0,0.0,96,1.0,1007.0000000000001,2026584096,0.3,0.0
fig3_risk_compensation,787.0,0.4,0.3,0,0.0,97,1.0,787.0,2026584097,0.3,0.0
fig3_risk_compensation,933.0,0.4,0.3,0,0.0,98,1.0,933.0,2026584098,0.3,0.0
fig3_risk_compensation,700.0,0.4,0.3,0,0.0,99,1.0,700.0,2026584099,0.3,0.0
fig3_risk_compensation,544.0,0.4,0.3,0,39.705882352941174,0,1.0,328.0,2026586000,0.3,0.3
fig3_risk_compensation,641.0,0.4,0.3,0,46.957878315132604,1,1.0,340.0,2026586001,0.3,0.3
fig3_risk_compensation,852.9999999999999,0.4,0.3,0,66.35404454865181,2,1.0,287.0,2026586002,0.3,0.3
fig3_risk_compensation,664.0,0.4,0.3,0,44.57831325301205,3,1.0,368.0,2026586003,0.3,0.3
fig3_risk_compensation,1123.0,0.4,0.3,0,61.175422974176314,4,1.0,436.0,2026586004,0.3,0.3
fig3_risk_compensation,638.0,0.4,0.3,0,57.05329153605015,5,1.0,274.0,2026586005,0.3,0.3
fig3_risk_compensation,1160.0,0.4,0.3,0,60.689655172413794,6,1.0,456.0,2026586006,0.3,0.3
fig3_risk_compensation,470.0,0.4,0.3,0,50.212765957446805,7,1.0,234.0,2026586007,0.3,0.3
fig3_risk_compensation,935.0000000000001,0.4,0.3,0,47.37967914438504,8,1.0,492.0,2026586008,0.3,0.3
fig3_risk_compensation,1061.0,0.4,0.3,0,71.81903864278982,9,1.0,299.0,2026586009,0.3,0.3
fig3_risk_compensation,603.0,0.4,0.3,0,49.585406301824214,10,1.0,304.0,2026586010,0.3,0.3
fig3_risk_compensation,696.0,0.4,0.3,0,68.67816091954023,11,1.0,218.0,2026586011,0.3,0.3
fig3_risk_compensation,875.0000000000001,0.4,0.3,0,55.54285714285715,12,1.0,389.0,2026586012,0.3,0.3
fig3_risk_compensation,779.0,0.4,0.3,0,58.2798459563543,13,1.0,325.0,2026586013,0.3,0.3
fig3_risk_compensation,1223.0,0.4,0.3,0,56.82747342600164,14,1.0,528.0,2026586014,0.3,0.3
fig3_risk_compensation,622.0,0.4,0.3,0,51.92926045016077,15,1.0,299.0,2026586015,0.3,0.3
fig3_risk_compensation,834.0,0.4,0.3,0,71.46282973621103,16,1.0,238.00000000000003,2026586016,0.3,0.3
fig3_risk_compensation,911.0,0.4,0.3,0,58.397365532382,17,1.0,379.0,2026586017,0.3,0.3
fig3_risk_compensation,714.0,0.4,0.3,0,55.32212885154062,18,1.0,319.0,2026586018,0.3,0.3
fig3_risk_compensation,665.0,0.4,0.3,0,52.330827067669176,19,1.0,317.0,2026586019,0.3,0.3
fig3_risk_compensation,996.0,0.4,0.3,0,59.33734939759036,20,1.0,405.0,2026586020,0.3,0.3
fig3_risk_compensation,772.0,0.4,0.3,0,62.30569948186528,21,1.0,291.0,2026586021,0.3,0.3
fig3_risk_compensation,617.0,0.4,0.3,0,48.946515397082656,22,1.0,315.0,2026586022,0.3,0.3
fig3_risk_compensation,826.0,0.4,0.3,0,66.34382566585957,23,1.0,278.0,2026586023,0.3,0.3
fig3_risk_compensation,1098.0,0.4,0.3,0,49.81785063752277,24,1.0,551.0,2026586024,0.3,0.3
fig3_risk_compensation,1001.9999999999999,0.4,0.3,0,70.75848303393212,25,1.0,293.0,2026586025,0.3,0.3
fig3_risk_compensation,591.0,0.4,0.3,0,56.68358714043993,26,1.0,256.0,2026586026,0.3,0.3
fig3_risk_compensation,769.0,0.4,0.3,0,47.98439531859558,27,1.0,400.0,2026586027,0.3,0.3
fig3_risk_compensation,698.0,0.4,0.3,0,46.70487106017192,28,1.0,372.0,2026586028,0.3,0.3
fig3_risk_compensation,632.0,0.4,0.3,0,53.48101265822785,29,1.0,294.0,2026586029,0.3,0.3
fig3_risk_compensation,662.0,0.4,0.3,0,37.91540785498489,30,1.0,411.0,2026586030,0.3,0.3
fig3_risk_compensation,685.0,0.4,0.3,0,43.7956204379562,31,1.0,385.0,2026586031,0.3,0.3
fig3_risk_compensation,912.9999999999999,0.4,0.3,0,55.85980284775464,32,1.0,403.0,2026586032,0.3,0.3
fig3_risk_compensation,640.0,0.4,0.3,0,46.875,33,1.0,340.0,2026586033,0.3,0.3
fig3_risk_compensation,692.0,0.4,0.3,0,39.88439306358383,34,1.0,415.99999999999994,2026586034,0.3,0.3
fig3_risk_compensation,778.0,0.4,0.3,0,60.796915167095115,35,1.0,305.0,2026586035,0.3,0.3
fig3_risk_compensation,525.0,0.4,0.3,0,44.38095238095238,36,1.0,292.0,2026586036,0.3,0.3
fig3_risk_compensation,869.9999999999999,0.4,0.3,0,52.988505747126425,37,1.0,409.0,2026586037,0.3,0.3
fig3_risk_compensation,768.0,0.4,0.3,0,60.286458333333336,38,1.0,305.0,2026586038,0.3,0.3
fig3_risk_compensation,997.0,0.4,0.3,0,63.691073219658975,39,1.0,362.0,2026586039,0.3,0.3
fig3_risk_compensation,796.0,0.4,0.3,0,61.30653266331658,40,1.0,308.0,2026586040,0.3,0.3
fig3_risk_compensation,874.0,0.4,0.3,0,63.50114416475972,41,1.0,319.0,2026586041,0.3,0.3
fig3_risk_compensation,847.0,0.4,0.3,0,51.82998819362455,42,1.0,408.00000000000006,2026586042,0.3,0.3
fig3_risk_compensation,795.0,0.4,0.3,0,69.43396226415095,43,1.0,243.0,2026586043,0.3,0.3
fig3_risk_compensation,724.0,0.4,0.3,0,54.14364640883978,44,1.0,332.0,2026586044,0.3,0.3
fig3_risk_compensation,912.9999999999999,0.4,0.3,0,64.51259583789704,45,1.0,324.0,2026586045,0.3,0.3
fig3_risk_compensation,1072.0,0.4,0.3,0,67.25746268656717,46,1.0,351.0,2026586046,0.3,0.3
fig3_risk_compensation,895.0,0.4,0.3,0,67.26256983240224,47,1.0,293.0,2026586047,0.3,0.3
fig3_risk_compensation,944.0,0.4,0.3,0,50.63559322033898,48,1.0,466.0,2026586048,0.3,0.3
fig3_risk_compensation,816.0000000000001,0.4,0.3,0,61.274509803921575,49,1.0,316.0,2026586049,0.3,0.3
fig3_risk_compensation,592.0,0.4,0.3,0,45.439189189189186,50,1.0,323.0,2026586050,0.3,0.3
fig3_risk_compensation,765.0,0.4,0.3,0,49.01960784313726,51,1.0,390.0,2026586051,0.3,0.3
fig3_risk_compensation,842.0,0.4,0.3,0,63.895486935866984,52,1.0,304.0,2026586052,0.3,0.3
fig3_risk_compensation,733.0,0.4,0.3,0,36.01637107776262,53,1.0,469.0,2026586053,0.3,0.3
fig3_risk_compensation,894.0,0.4,0.3,0,58.83668903803132,54,1.0,368.0,2026586054,0.3,0.3
fig3_risk_compensation,1104.0,0.4,0.3,0,57.971014492753625,55,1.0,464.0,2026586055,0.3,0.3
fig3_risk_compensation,822.0,0.4,0.3,0,57.78588807785888,56,1.0,347.0,2026586056,0.3,0.3
fig3_risk_compensation,993.0,0.4,0.3,0,50.95669687814703,57,1.0,487.0,2026586057,0.3,0.3
fig3_risk_compensation,961.0,0.4,0.3,0,65.14047866805412,58,1.0,335.0,2026586058,0.3,0.3
fig3_risk_compensation,640.0,0.4,0.3,0,50.3125,59,1.0,318.0,2026586059,0.3,0.3
fig3_risk_compensation,660.0,0.4,0.3,0,43.18181818181818,60,1.0,375.0,2026586060,0.3,0.3
fig3_risk_compensation,976.0,0.4,0.3,0,51.02459016393442,61,1.0,478.00000000000006,2026586061,0.3,0.3
fig3_risk_compensation,920.0,0.4,0.3,0,52.17391304347826,62,1.0,440.0,2026586062,0.3,0.3
fig3_risk_compensation,808.0,0.4,0.3,0,49.25742574257425,63,1.0,410.00000000000006,2026586063,0.3,0.3
fig3_risk_compensation,835.9999999999999,0.4,0.3,0,52.63157894736841,64,1.0,396.0,2026586064,0.3,0.3
fig3_risk_compensation,667.0,0.4,0.3,0,50.22488755622189,65,1.0,332.0,2026586065,0.3,0.3
fig3_risk_compensation,958.0,0.4,0.3,0,60.54279749478079,66,1.0,378.0,2026586066,0.3,0.3
fig3_risk_compensation,1174.0,0.4,0.3,0,58.17717206132879,67,1.0,491.00000000000006,2026586067,0.3,0.3
fig3_risk_compensation,1037.0,0.4,0.3,0,60.752169720347155,68,1.0,407.0,2026586068,0.3,0.3
fig3_risk_compensation,729.0,0.4,0.3,0,57.47599451303155,69,1.0,310.0,2026586069,0.3,0.3
fig3_risk_compensation,800.0,0.4,0.3,0,35.125,70,1.0,519.0,2026586070,0.3,0.3
fig3_risk_compensation,640.0,0.4,0.3,0,52.96875,71,1.0,301.0,2026586071,0.3,0.3
fig3_risk_compensation,525.0,0.4,0.3,0,61.714285714285715,72,1.0,201.0,2026586072,0.3,0.3
fig3_risk_compensation,916.0,0.4,0.3,0,60.262008733624455,73,1.0,364.0,2026586073,0.3,0.3
fig3_risk_compensation,1321.0,0.4,0.3,0,69.11430734292203,74,1.0,408.00000000000006,2026586074,0.3,0.3
fig3_risk_compensation,959.0,0.4,0.3,0,56.308654848800835,75,1.0,419.0,2026586075,0.3,0.3
fig3_risk_compensation,670.0,0.4,0.3,0,52.985074626865675,76,1.0,315.0,2026586076,0.3,0.3
fig3_risk_compensation,583.0,0.4,0.3,0,57.63293310463122,77,1.0,247.0,2026586077,0.3,0.3
fig3_risk_compensation,1001.0,0.4,0.3,0,65.63436563436564,78,1.0,344.0,2026586078,0.3,0.3
fig3_risk_compensation,906.0,0.4,0.3,0,65.67328918322296,79,1.0,311.0,2026586079,0.3,0.3
fig3_risk_compensation,927.0,0.4,0.3,0,64.40129449838187,80,1.0,330.0,2026586080,0.3,0.3
fig3_risk_compensation,1213.0,0.4,0.3,0,65.45754328112119,81,1.0,419.0,2026586081,0.3,0.3
fig3_risk_compensation,745.0,0.4,0.3,0,55.30201342281879,82,1.0,333.0,2026586082,0.3,0.3
fig3_risk_compensation,753.0,0.4,0.3,0,59.62815405046481,83,1.0,304.0,2026586083,0.3,0.3
fig3_risk_compensation,721.0,0.4,0.3,0,61.16504854368932,84,1.0,280.0,2026586084,0.3,0.3
fig3_risk_compensation,814.9999999999999,0.4,0.3,0,62.69938650306747,85,1.0,304.0,2026586085,0.3,0.3
fig3_risk_compensation,629.0,0.4,0.3,0,48.807631160572335,86,1.0,322.0,2026586086,0.3,0.3
fig3_risk_compensation,806.0,0.4,0.3,0,47.146401985111666,87,1.0,426.0,2026586087,0.3,0.3
fig3_risk_compensation,835.9999999999999,0.4,0.3,0,62.91866028708133,88,1.0,310.0,2026586088,0.3,0.3
fig3_risk_compensation,916.9999999999999,0.4,0.3,0,59.10577971646673,89,1.0,375.0,2026586089,0.3,0.3
fig3_risk_compensation,701.0,0.4,0.3,0,55.349500713266764,90,1.0,313.0,2026586090,0.3,0.3
fig3_risk_compensation,557.0,0.4,0.3,0,47.755834829443444,91,1.0,291.0,2026586091,0.3,0.3
fig3_risk_compensation,771.0,0.4,0.3,0,38.651102464332034,92,1.0,473.0,2026586092,0.3,0.3
fig3_risk_compensation,1042.0,0.4,0.3,0,61.90019193857965,93,1.0,396.99999999999994,2026586093,0.3,0.3
fig3_risk_compensation,534.0,0.4,0.3,0,65.73033707865169,94,1.0,183.0,2026586094,0.3,0.3
fig3_risk_compensation,966.0,0.4,0.3,0,52.5879917184265,95,1.0,458.0,2026586095,0.3,0.3
