strategy,horizon,replicate_id,simulation_seed,cases,deaths,doses
no_vax_enh_ops,90,31,2026080431,257.0,114.0,0
vax_base_ops,90,31,2026080431,1378.0,620.0,7546
vax_enh_ops,90,31,2026080431,245.0,102.00000000000001,7900
comm_base_40,90,31,2026080431,678.0,295.0,40000
comm_base_60,90,31,2026080431,388.0,148.0,60000
no_vax_base_ops,180,31,2026080431,8039.0,3663.0000000000005,0
no_vax_enh_ops,180,31,2026080431,257.0,114.0,0
vax_base_ops,180,31,2026080431,2803.0,1207.0,16277
vax_enh_ops,180,31,2026080431,251.0,107.0,16871
comm_base_40,180,31,2026080431,886.0,378.0,40000
comm_base_60,180,31,2026080431,439.0,173.0,60000
no_vax_base_ops,90,33,2026080433,1583.0,702.0,0
no_vax_enh_ops,90,33,2026080433,245.0,117.0,0
vax_base_ops,90,33,2026080433,1277.0,566.0,6421
vax_enh_ops,90,33,2026080433,207.99999999999997,96.0,8162
comm_base_40,90,33,2026080433,622.0,271.0,40000
comm_base_60,90,33,2026080433,314.0,141.0,60000
no_vax_base_ops,180,33,2026080433,5610.0,2594.0,0
no_vax_enh_ops,180,33,2026080433,248.0,119.99999999999999,0
vax_base_ops,180,33,2026080433,2296.0,1012.0,15135
vax_enh_ops,180,33,2026080433,207.99999999999997,96.0,17128
comm_base_40,180,33,2026080433,678.0,292.0,40000
comm_base_60,180,33,2026080433,316.0,142.0,60000
no_vax_base_ops,90,32,2026080432,1611.0,754.0,0
no_vax_enh_ops,90,32,2026080432,438.0,201.0,0
vax_base_ops,90,32,2026080432,1216.0,549.0,6728
vax_enh_ops,90,32,2026080432,334.0,148.0,7757
comm_base_40,90,32,2026080432,478.00000000000006,210.0,40000
comm_base_60,90,32,2026080432,402.0,158.0,60000
no_vax_base_ops,180,32,2026080432,5837.0,2681.0,0
no_vax_enh_ops,180,32,2026080432,447.0,206.00000000000003,0
vax_base_ops,180,32,2026080432,2328.0,1048.0,15530
vax_enh_ops,180,32,2026080432,334.0,148.0,16683
comm_base_40,180,32,2026080432,590.0,252.0,40000
comm_base_60,180,32,2026080432,411.0,163.0,60000
no_vax_base_ops,90,35,2026080435,2038.9999999999998,915.0,0
no_vax_enh_ops,90,35,2026080435,289.0,123.0,0
vax_base_ops,90,35,2026080435,1302.0,560.0,6799
vax_enh_ops,90,35,2026080435,240.99999999999997,100.0,8123
comm_base_40,90,35,2026080435,717.0,288.0,40000
comm_base_60,90,35,2026080435,316.0,125.0,60000
no_vax_base_ops,180,35,2026080435,7148.0,3227.0,0
no_vax_enh_ops,180,35,2026080435,290.0,124.0,0
vax_base_ops,180,35,2026080435,2518.0,1104.0,15548
vax_enh_ops,180,35,2026080435,244.0,100.0,17068
comm_base_40,180,35,2026080435,1071.0,447.0,40000
comm_base_60,180,35,2026080435,342.0,137.0,60000
no_vax_base_ops,90,34,2026080434,2519.0,1166.0,0
no_vax_enh_ops,90,34,2026080434,312.0,147.0,0
vax_base_ops,90,34,2026080434,2029.9999999999998,903.9999999999999,7083
vax_enh_ops,90,34,2026080434,333.0,151.0,8201
comm_base_40,90,34,2026080434,702.0,293.0,40000
comm_base_60,90,34,2026080434,458.0,175.0,60000
no_vax_base_ops,180,34,2026080434,9644.0,4397.0,0
no_vax_enh_ops,180,34,2026080434,312.0,147.0,0
vax_base_ops,180,34,2026080434,3748.0,1679.0,15635
vax_enh_ops,180,34,2026080434,333.0,151.0,17175
comm_base_40,180,34,2026080434,846.0,361.0,40000
comm_base_60,180,34,2026080434,466.0,180.0,60000
no_vax_base_ops,90,36,2026080436,1944.9999999999998,889.0,0
no_vax_enh_ops,90,36,2026080436,262.0,119.00000000000001,0
vax_base_ops,90,36,2026080436,1618.0,708.0,7079
vax_enh_ops,90,36,2026080436,241.99999999999997,106.0,7977
comm_base_40,90,36,2026080436,575.0,241.99999999999997,40000
comm_base_60,90,36,2026080436,338.0,132.0,60000
no_vax_base_ops,180,36,2026080436,6990.0,3172.0,0
no_vax_enh_ops,180,36,2026080436,262.0,119.00000000000001,0
vax_base_ops,180,36,2026080436,3078.0,1347.0,15743
vax_enh_ops,180,36,2026080436,241.99999999999997,106.0,16960
comm_base_40,180,36,2026080436,667.0,281.0,40000
comm_base_60,180,36,2026080436,339.0,133.0,60000
no_vax_base_ops,90,37,2026080437,1757.9999999999998,790.0000000000001,0
no_vax_enh_ops,90,37,2026080437,358.0,171.0,0
vax_base_ops,90,37,2026080437,1577.0,689.0,6641
vax_enh_ops,90,37,2026080437,312.0,140.0,7859
comm_base_40,90,37,2026080437,624.0,277.0,40000
comm_base_60,90,37,2026080437,359.0,156.0,60000
no_vax_base_ops,180,37,2026080437,6395.000000000001,2845.0,0
no_vax_enh_ops,180,37,2026080437,366.0,173.0,0
vax_base_ops,180,37,2026080437,3356.0,1447.0,15291
vax_enh_ops,180,37,2026080437,313.0,140.0,16815
comm_base_40,180,37,2026080437,813.0,357.0,40000
comm_base_60,180,37,2026080437,361.0,156.0,60000
no_vax_base_ops,90,38,2026080438,1391.0,635.0,0
no_vax_enh_ops,90,38,2026080438,260.0,118.0,0
vax_base_ops,90,38,2026080438,937.0,428.0,6777
vax_enh_ops,90,38,2026080438,239.99999999999997,111.99999999999999,7720
comm_base_40,90,38,2026080438,494.0,212.0,40000
comm_base_60,90,38,2026080438,271.0,109.0,60000
no_vax_base_ops,180,38,2026080438,6225.0,2834.0,0
