analysis,base_deaths,immune_midpoint,max_vaccines,mortality_reduction_pct,radius,replicate,scenario_deaths,seed,ve_i,ve_m
fig4_immune_onset,801.9999999999999,14.0,,15.96009975062343,2,48,674.0,2026800048,0.45,0.45
fig4_immune_onset,1107.0,14.0,,0.18066847335140018,2,49,1105.0,2026800049,0.45,0.45
fig4_immune_onset,872.0,14.0,,0.573394495412831,2,50,867.0000000000001,2026800050,0.45,0.45
fig4_immune_onset,916.0,14.0,,2.2925764192139737,2,51,895.0,2026800051,0.45,0.45
fig4_immune_onset,919.0,14.0,,19.477693144722526,2,52,740.0,2026800052,0.45,0.45
fig4_immune_onset,1162.0,14.0,,12.736660929432015,2,53,1014.0,2026800053,0.45,0.45
fig4_immune_onset,1291.0,14.0,,16.886134779240898,2,54,1073.0,2026800054,0.45,0.45
fig4_immune_onset,1268.0,14.0,,15.457413249211356,2,55,1072.0,2026800055,0.45,0.45
fig4_immune_onset,1026.0,14.0,,5.555555555555545,2,56,969.0000000000001,2026800056,0.45,0.45
fig4_immune_onset,608.0,14.0,,15.625,2,57,513.0,2026800057,0.45,0.45
fig4_immune_onset,1427.0,14.0,,0.0,2,58,1427.0,2026800058,0.45,0.45
fig4_immune_onset,1413.0,14.0,,10.615711252653927,2,59,1263.0,2026800059,0.45,0.45
fig4_immune_onset,881.0,14.0,,-0.5675368898978433,2,60,886.0,2026800060,0.45,0.45
fig4_immune_onset,827.9999999999999,14.0,,-4.589371980676329,2,61,865.9999999999999,2026800061,0.45,0.45
fig4_immune_onset,1066.0,14.0,,-3.8461538461538463,2,62,1107.0,2026800062,0.45,0.45
fig4_immune_onset,1265.0,14.0,,14.229249011857707,2,63,1085.0,2026800063,0.45,0.45
fig4_immune_onset,1009.0,14.0,,13.181367690782954,2,64,876.0,2026800064,0.45,0.45
fig4_immune_onset,1037.0,14.0,,4.050144648023144,2,65,995.0,2026800065,0.45,0.45
fig4_immune_onset,1039.0,14.0,,10.490856592877778,2,66,929.9999999999999,2026800066,0.45,0.45
fig4_immune_onset,1129.0,14.0,,0.08857395925597875,2,67,1128.0,2026800067,0.45,0.45
fig4_immune_onset,860.0,14.0,,14.534883720930232,2,68,735.0,2026800068,0.45,0.45
fig4_immune_onset,1059.0,14.0,,14.73087818696884,2,69,903.0,2026800069,0.45,0.45
fig4_immune_onset,1462.0,14.0,,14.911080711354309,2,70,1244.0,2026800070,0.45,0.45
