date,variable,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
2026-06-20,R,,estimate based on partial data,1.36571595976663,1.35414228546295,0.126546141051323,1.13380996171864,1.26896008857525,1.32945206054085,1.39805926005577,1.44642342120827,1.54286819697356
2026-06-21,R,,estimate based on partial data,1.36046409838041,1.34946453289603,0.125396285867302,1.13182753864116,1.26606464726309,1.32463577538137,1.3921247264156,1.4406573987425,1.53844640189235
2026-06-22,R,,estimate based on partial data,1.35614445390121,1.34615927382006,0.12387122204344,1.13061346447605,1.26396785776524,1.32122548227109,1.38892179909636,1.4373662087516,1.53583749956333
2026-06-23,R,,estimate based on partial data,1.35241297002092,1.34415573983212,0.122007131154458,1.1307319073745,1.26202906660653,1.31956937539567,1.38510891208469,1.43367928951802,1.52998488524684
2026-06-24,R,,estimate based on partial data,1.35139874659825,1.34338160060971,0.119852219989294,1.13717976054808,1.26298195704989,1.31919751257954,1.38219201620888,1.43103848603094,1.52610468134714
2026-06-25,R,,estimate based on partial data,1.35123550361113,1.34376376726163,0.117466031538829,1.1421847296387,1.26527906673456,1.31992735331331,1.38023739542075,1.42943593639545,1.52199612373248
2026-06-26,R,,estimate based on partial data,1.35135406838351,1.34522895359167,0.114918790058857,1.147838667707,1.26787903181638,1.32014471123343,1.38104617322959,1.42765537962087,1.52081271036926
2026-06-27,R,,estimate based on partial data,1.35241050149265,1.34770393936404,0.112290893996316,1.1563741870911,1.27060408027014,1.32271932979944,1.38195687705097,1.42849103824739,1.52115607315949
2026-06-28,R,,estimate based on partial data,1.35552831806492,1.35111550002326,0.109672896875959,1.16446305643562,1.27546428269155,1.32546094001124,1.38319021867847,1.43043983794669,1.52326592618675
2026-06-29,R,,estimate based on partial data,1.35891813841435,1.355389955911,0.107166208498072,1.17398201250393,1.28217287586428,1.33033232199635,1.3871789911671,1.43275293676391,1.52402006020903
2026-06-30,R,,estimate based on partial data,1.36315716756429,1.36045228818802,0.104884093983572,1.18412001923593,1.28900618834209,1.33587433442775,1.39073360778756,1.43510271029255,1.52711331031381
2026-07-01,R,,estimate based on partial data,1.36802953503321,1.36622481521874,0.102951491962026,1.19557961615402,1.29732346122492,1.342694065548,1.39547677011655,1.4379460041223,1.52974720227646
2026-07-02,R,,estimate based on partial data,1.37521157397244,1.37262554133018,0.101501388931008,1.20407417596635,1.30380555288635,1.34892365129282,1.40051729552137,1.4431028858969,1.53605764644452
2026-07-03,R,,estimate based on partial data,1.38176064164185,1.37956644766525,0.10066588223078,1.21171144599839,1.31007650620866,1.35480195701498,1.40771220392597,1.44805426923033,1.53842808319791
2026-07-04,R,,estimate based on partial data,1.38817016621541,1.38695212008671,0.10056206594908,1.22121598693864,1.31728909885274,1.36148379199875,1.41339468189406,1.455536178028,1.54917510966531
2026-07-05,R,,estimate based on partial data,1.39598714806422,1.39467913291298,0.101275793958384,1.22968135693446,1.32406391730208,1.36840027386376,1.42056138293051,1.46277474059035,1.55902066788461
2026-07-06,R,,estimate based on partial data,1.40226309137927,1.40263651079026,0.102848519070998,1.23811159387673,1.33088788915019,1.3761791285914,1.42871217454355,1.47137406198326,1.56953768565213
2026-07-07,R,,estimate based on partial data,1.40847956456039,1.41070741760012,0.105272190319972,1.24316035017939,1.33721063939473,1.3822789223613,1.43597399532091,1.48026931436546,1.58263225405723
2026-07-08,R,,estimate based on partial data,1.41607164523669,1.41877204252718,0.108494506938463,1.24822127091705,1.34363111905923,1.39041322451003,1.44337775435159,1.48946630153372,1.5955137837852
2026-07-09,R,,estimate based on partial data,1.42281480458951,1.42671151550375,0.112433247501485,1.25057838914809,1.3507934327025,1.39610488316401,1.45086179594226,1.49760159362269,1.61435296851254
2026-07-10,R,,estimate based on partial data,1.4294111127094,1.43441258054205,0.116995754241483,1.25306873944833,1.35515875378317,1.40141365568632,1.45924937293662,1.50606840373055,1.63161457425647
2026-07-11,R,,estimate based on partial data,1.4369958062424,1.44177264940343,0.122098651619079,1.25114629831371,1.35966727914762,1.40650035487259,1.4660840491313,1.5144257674143,1.64678361895652
