after_onset,analysis,before_exposure,coverage,during_incubation,enhanced,max_vaccines,n_vaccinated_cases,radius,replicate,seed,strategy
11,supp_s3_delivery,95,0.4,14,,0,120,2,106,2026131106,community40_base
69,supp_s3_delivery,9,,22,1,,100,2,106,2026131106,ring2_enhanced
26,supp_s3_delivery,130,0.4,26,,0,182,2,107,2026131107,community40_base
54,supp_s3_delivery,11,,14,1,,79,2,107,2026131107,ring2_enhanced
22,supp_s3_delivery,100,0.4,20,,0,142,2,105,2026131105,community40_base
97,supp_s3_delivery,18,,17,1,,132,2,105,2026131105,ring2_enhanced
19,supp_s3_delivery,51,0.4,12,,0,82,2,109,2026131109,community40_base
51,supp_s3_delivery,8,,16,1,,75,2,109,2026131109,ring2_enhanced
20,supp_s3_delivery,90,0.4,15,,0,125,2,108,2026131108,community40_base
74,supp_s3_delivery,9,,16,1,,99,2,108,2026131108,ring2_enhanced
16,supp_s3_delivery,72,0.4,8,,0,96,2,110,2026131110,community40_base
65,supp_s3_delivery,7,,8,1,,80,2,110,2026131110,ring2_enhanced
27,supp_s3_delivery,95,0.4,14,,0,136,2,111,2026131111,community40_base
88,supp_s3_delivery,6,,19,1,,113,2,111,2026131111,ring2_enhanced
15,supp_s3_delivery,77,0.4,17,,0,109,2,112,2026131112,community40_base
41,supp_s3_delivery,7,,16,1,,64,2,112,2026131112,ring2_enhanced
13,supp_s3_delivery,83,0.4,16,,0,112,2,113,2026131113,community40_base
23,supp_s3_delivery,4,,9,1,,36,2,113,2026131113,ring2_enhanced
21,supp_s3_delivery,75,0.4,16,,0,112,2,114,2026131114,community40_base
75,supp_s3_delivery,21,,30,1,,126,2,114,2026131114,ring2_enhanced
19,supp_s3_delivery,86,0.4,15,,0,120,2,115,2026131115,community40_base
54,supp_s3_delivery,8,,14,1,,76,2,115,2026131115,ring2_enhanced
28,supp_s3_delivery,124,0.4,25,,0,177,2,116,2026131116,community40_base
75,supp_s3_delivery,13,,14,1,,102,2,116,2026131116,ring2_enhanced
25,supp_s3_delivery,148,0.4,26,,0,199,2,117,2026131117,community40_base
68,supp_s3_delivery,8,,16,1,,92,2,117,2026131117,ring2_enhanced
16,supp_s3_delivery,124,0.4,22,,0,162,2,118,2026131118,community40_base
63,supp_s3_delivery,8,,11,1,,82,2,118,2026131118,ring2_enhanced
23,supp_s3_delivery,135,0.4,16,,0,174,2,119,2026131119,community40_base
38,supp_s3_delivery,4,,13,1,,55,2,119,2026131119,ring2_enhanced
22,supp_s3_delivery,141,0.4,15,,0,178,2,120,2026131120,community40_base
51,supp_s3_delivery,7,,15,1,,73,2,120,2026131120,ring2_enhanced
19,supp_s3_delivery,73,0.4,20,,0,112,2,126,2026131126,community40_base
48,supp_s3_delivery,17,,26,1,,91,2,126,2026131126,ring2_enhanced
