strategy,replicate_id,simulation_seed,extinct_before_day90,extinction_time,total_deaths,total_infected,total_vaccines
comm_base_40,60,2026073060,0,nan,235,553,40000
comm_base_60,60,2026073060,0,nan,147,351,60000
no_vax_base_ops,62,2026073062,0,nan,842,1875,0
no_vax_enh_ops,62,2026073062,0,nan,107,249,0
comm_base_40,62,2026073062,0,nan,258,642,40000
comm_base_60,62,2026073062,0,nan,184,456,60000
no_vax_base_ops,63,2026073063,0,nan,1115,2476,0
no_vax_enh_ops,63,2026073063,1,85.29879659286705,173,367,0
comm_base_40,63,2026073063,0,nan,343,803,40000
comm_base_60,63,2026073063,0,nan,247,594,60000
no_vax_base_ops,67,2026073067,0,nan,645,1362,0
no_vax_enh_ops,67,2026073067,1,89.6941794481268,91,226,0
comm_base_40,67,2026073067,0,nan,241,557,40000
comm_base_60,67,2026073067,0,nan,113,303,60000
no_vax_base_ops,64,2026073064,0,nan,873,1943,0
no_vax_enh_ops,64,2026073064,0,nan,123,299,0
comm_base_40,64,2026073064,0,nan,289,713,40000
comm_base_60,64,2026073064,0,nan,170,464,60000
no_vax_base_ops,65,2026073065,0,nan,729,1637,0
no_vax_enh_ops,65,2026073065,1,83.2796758904882,112,269,0
comm_base_40,65,2026073065,0,nan,212,550,40000
comm_base_60,65,2026073065,0,nan,142,368,60000
no_vax_base_ops,66,2026073066,0,nan,904,2074,0
no_vax_enh_ops,66,2026073066,0,nan,175,364,0
comm_base_40,66,2026073066,0,nan,295,658,40000
comm_base_60,66,2026073066,0,nan,157,369,60000
no_vax_base_ops,68,2026073068,0,nan,668,1511,0
no_vax_enh_ops,68,2026073068,0,nan,145,313,0
comm_base_40,68,2026073068,0,nan,273,637,40000
comm_base_60,68,2026073068,0,nan,193,469,60000
no_vax_base_ops,69,2026073069,0,nan,1078,2389,0
no_vax_enh_ops,69,2026073069,0,nan,127,276,0
comm_base_40,69,2026073069,0,nan,365,888,40000
comm_base_60,69,2026073069,0,nan,169,429,60000
no_vax_base_ops,70,2026073070,0,nan,812,1825,0
no_vax_enh_ops,70,2026073070,0,nan,119,268,0
comm_base_40,70,2026073070,0,nan,286,689,40000
comm_base_60,70,2026073070,0,nan,222,595,60000
no_vax_base_ops,72,2026073072,0,nan,885,1913,0
no_vax_enh_ops,72,2026073072,1,88.04759462517869,166,400,0
comm_base_40,72,2026073072,0,nan,307,740,40000
comm_base_60,72,2026073072,0,nan,224,557,60000
no_vax_base_ops,73,2026073073,0,nan,905,2014,0
no_vax_enh_ops,73,2026073073,0,nan,161,356,0
comm_base_40,73,2026073073,0,nan,314,767,40000
comm_base_60,73,2026073073,0,nan,161,418,60000
no_vax_base_ops,74,2026073074,0,nan,947,2047,0
no_vax_enh_ops,74,2026073074,0,nan,123,297,0
comm_base_40,74,2026073074,0,nan,305,790,40000
comm_base_60,74,2026073074,0,nan,215,579,60000
no_vax_base_ops,71,2026073071,0,nan,780,1749,0
no_vax_enh_ops,71,2026073071,1,82.38855102542284,133,280,0
comm_base_40,71,2026073071,0,nan,381,900,40000
comm_base_60,71,2026073071,0,nan,183,438,60000
no_vax_base_ops,75,2026073075,0,nan,1078,2383,0
no_vax_enh_ops,75,2026073075,0,nan,111,259,0
comm_base_40,75,2026073075,0,nan,330,820,40000
comm_base_60,75,2026073075,0,nan,216,566,60000
no_vax_base_ops,77,2026073077,0,nan,833,1813,0
no_vax_enh_ops,77,2026073077,0,nan,114,242,0
comm_base_40,77,2026073077,0,nan,311,750,40000
comm_base_60,77,2026073077,0,nan,154,371,60000
no_vax_base_ops,76,2026073076,0,nan,877,1901,0
no_vax_enh_ops,76,2026073076,0,nan,116,244,0
comm_base_40,76,2026073076,0,nan,253,568,40000
comm_base_60,76,2026073076,0,nan,190,437,60000
no_vax_base_ops,79,2026073079,0,nan,801,1702,0
no_vax_enh_ops,79,2026073079,0,nan,148,334,0
comm_base_40,79,2026073079,0,nan,269,622,40000
comm_base_60,79,2026073079,0,nan,134,339,60000
no_vax_base_ops,81,2026073081,0,nan,840,1838,0
no_vax_enh_ops,81,2026073081,1,86.37178121990107,121,273,0
comm_base_40,81,2026073081,0,nan,220,546,40000
comm_base_60,81,2026073081,0,nan,191,521,60000
no_vax_base_ops,80,2026073080,0,nan,643,1352,0
no_vax_enh_ops,80,2026073080,0,nan,112,234,0
comm_base_40,80,2026073080,0,nan,178,420,40000
comm_base_60,80,2026073080,0,nan,122,279,60000
no_vax_base_ops,78,2026073078,0,nan,905,1984,0
no_vax_enh_ops,78,2026073078,0,nan,139,307,0
comm_base_40,78,2026073078,0,nan,303,699,40000
comm_base_60,78,2026073078,0,nan,141,353,60000
no_vax_base_ops,82,2026073082,0,nan,570,1256,0
no_vax_enh_ops,82,2026073082,0,nan,133,294,0
comm_base_40,82,2026073082,0,nan,223,553,40000
comm_base_60,82,2026073082,0,nan,127,329,60000
no_vax_base_ops,83,2026073083,0,nan,1003,2196,0
no_vax_enh_ops,83,2026073083,0,nan,107,257,0
comm_base_40,83,2026073083,0,nan,234,596,40000
comm_base_60,83,2026073083,0,nan,144,384,60000
no_vax_base_ops,85,2026073085,0,nan,614,1352,0
no_vax_enh_ops,85,2026073085,0,nan,151,324,0
comm_base_40,85,2026073085,0,nan,253,596,40000
comm_base_60,85,2026073085,0,nan,143,362,60000
no_vax_base_ops,84,2026073084,0,nan,335,747,0
no_vax_enh_ops,84,2026073084,0,nan,130,269,0
comm_base_40,84,2026073084,0,nan,180,397,40000
comm_base_60,84,2026073084,0,nan,117,275,60000
no_vax_base_ops,88,2026073088,0,nan,670,1563,0
no_vax_enh_ops,88,2026073088,0,nan,154,370,0
comm_base_40,88,2026073088,0,nan,172,444,40000
comm_base_60,88,2026073088,0,nan,86,251,60000
no_vax_base_ops,87,2026073087,0,nan,1065,2388,0
no_vax_enh_ops,87,2026073087,1,82.02860064215844,111,256,0
comm_base_40,87,2026073087,0,nan,246,585,40000
comm_base_60,87,2026073087,0,nan,136,367,60000
no_vax_base_ops,86,2026073086,0,nan,897,1997,0
no_vax_enh_ops,86,2026073086,0,nan,155,315,0
comm_base_40,86,2026073086,0,nan,253,610,40000
comm_base_60,86,2026073086,0,nan,226,548,60000
no_vax_base_ops,89,2026073089,0,nan,912,2087,0
no_vax_enh_ops,89,2026073089,0,nan,79,210,0
comm_base_40,89,2026073089,0,nan,260,666,40000
comm_base_60,89,2026073089,0,nan,133,367,60000
no_vax_base_ops,91,2026073091,0,nan,811,1739,0
